"user_id","dt","ad_network"
"dd3f51fd5441caab","2021-02-01","FB"
"6fa9936bc7057491","2021-02-01","FB"
"536553ba9422fcd0","2021-02-01","FB"
"4dc4f502d9f93dd2","2021-02-01","FB"
"33cdd28b791076bd","2021-02-01","FB"
"6cbf0291a0df0c38","2021-02-01","FB"
"a6f393b65fa7cb91","2021-02-01","FB"
"5c552661c17c2b4d","2021-02-01","FB"
"19507ad350c264cd","2021-02-01","FB"
"f78d62cad7a93dd7","2021-02-01","FB"
"33fdb82220d49f56","2021-02-01","FB"
"b66960f0cdd39019","2021-02-01","FB"
"06d928d78641af00","2021-02-01","FB"
"2a6c73f0bd84c226","2021-02-01","FB"
"1c5dbd5a6fbab528","2021-02-01","FB"
"fd9cf60c716c9342","2021-02-01","FB"
"ab0c44fac625167f","2021-02-01","FB"
"bd354028509ff965","2021-02-01","FB"
"c6cf335dc8b09d3f","2021-02-01","FB"
"270c43b8fd147b0f","2021-02-01","FB"
"6cd74dd4f121416d","2021-02-01","FB"
"5d44c483200b1709","2021-02-01","FB"
"6c83b724a7fa8238","2021-02-01","FB"
"3b21287d05bcb394","2021-02-01","FB"
"41d0451cf9cc04a8","2021-02-01","FB"
"07b55613984499b9","2021-02-01","FB"
"5272cfb710fa88cb","2021-02-01","FB"
"ad889a2f76645da0","2021-02-01","FB"
"9682879fdac30810","2021-02-01","FB"
"dc8bb82c90bb024d","2021-02-01","FB"
"57cdaa2bcf27a047","2021-02-01","FB"
"25d7f027b7dd0b32","2021-02-01","FB"
"47ac8576716245af","2021-02-01","FB"
"3fcf39034a8d0283","2021-02-01","FB"
"9d6c803969f14889","2021-02-01","FB"
"05d44fcb388244bc","2021-02-01","FB"
"d45b6578543c1c19","2021-02-01","FB"
"7bc03b9bab1551fb","2021-02-01","FB"
"0fdc51c5a515b1c0","2021-02-01","FB"
"cb8ccf5759f1f95f","2021-02-01","FB"
"8b2054365af0774d","2021-02-01","FB"
"d788f82c3331d023","2021-02-01","FB"
"89f90a5d216c738b","2021-02-01","FB"
"00b1a20bc1318b81","2021-02-01","FB"
"895d2f244d1aa216","2021-02-01","FB"
"392c3f8aa1430844","2021-02-01","FB"
"a8f0bf817c936990","2021-02-01","FB"
"445f34d061fa8b79","2021-02-01","FB"
"7869c1b8d42d4ff4","2021-02-01","FB"
"8cfb804f668bf446","2021-02-01","FB"
"4297d8ac6da1687a","2021-02-01","FB"
"3c7b6148ffa9a173","2021-02-01","FB"
"444142946d65632c","2021-02-01","FB"
"c50834adcaf0f15c","2021-02-01","FB"
"a91c47c2d6921d9d","2021-02-01","FB"
"2dcccd59892cb896","2021-02-01","FB"
"6443fa7ccdc473c2","2021-02-01","FB"
"88527390711078c0","2021-02-01","FB"
"cb4137c272d0434d","2021-02-01","FB"
"1659237261b162f5","2021-02-01","FB"
"7f8a11c3a6df5dfb","2021-02-01","FB"
"abf634ffba47004b","2021-02-01","FB"
"11605692884741b3","2021-02-01","FB"
"601a6143449a10aa","2021-02-01","FB"
"6487802a6865ff8f","2021-02-01","FB"
"2a861f1db3168f2d","2021-02-01","FB"
"3b6abfa6a763484d","2021-02-01","FB"
"9b403614724f9006","2021-02-01","FB"
"0fcc1377f365cfc1","2021-02-01","FB"
"af815915223cb777","2021-02-01","FB"
"1b6c030504f1b14c","2021-02-01","FB"
"abb17a225fa12bb5","2021-02-01","FB"
"548adf3988529242","2021-02-01","FB"
"8494abb972230c31","2021-02-01","FB"
"cb2c6991827d62d1","2021-02-01","FB"
"0c15787b0a0b7baf","2021-02-01","FB"
"2bdd9a2242c31539","2021-02-01","FB"
"af92c7fafa20fbf6","2021-02-01","FB"
"14a5973249f6b0a5","2021-02-01","FB"
"a9c3296132cb3557","2021-02-01","FB"
"b21190cca6058d6c","2021-02-01","FB"
"908c266c617da69c","2021-02-01","FB"
"0fc6faf951f96455","2021-02-01","FB"
"1c365737129b5d9c","2021-02-01","FB"
"fd5c12374d32805c","2021-02-01","FB"
"796bc7f68a2d1673","2021-02-01","FB"
